id,event_type,tags,audio_file,gt_file,duration_sec,gt_char_count,gt_speaker_lines,audio_size_kb,audio_format,has_gt,notes
260603_北屯機廠號誌故障_備用_081717,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081717.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081717.txt,14.83,28,0,58.8,wav,Y,
260603_北屯機廠號誌故障_備用_082451,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_082451.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_082451.txt,30.62,86,0,121.3,wav,Y,
260603_北屯機廠號誌故障_正線_072318,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_072318.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_072318.txt,63.31,180,0,250.8,wav,Y,
260603_北屯機廠號誌故障_正線_072528,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_072528.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_072528.txt,43.81,115,0,173.6,wav,Y,
260603_北屯機廠號誌故障_正線_072630,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_072630.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_072630.txt,24.75,70,0,98.1,wav,Y,
260603_北屯機廠號誌故障_正線_072723,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_072723.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_072723.txt,169.05,730,0,669.6,wav,Y,
260603_北屯機廠號誌故障_正線_073100,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_073100.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_073100.txt,111.1,342,0,440.1,wav,Y,
260603_北屯機廠號誌故障_正線_073254,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_073254.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_073254.txt,83.58,268,0,331.1,wav,Y,
260603_北屯機廠號誌故障_正線_073432,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_073432.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_073432.txt,45.83,139,0,181.6,wav,Y,
260603_北屯機廠號誌故障_正線_073740,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_073740.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_073740.txt,45.77,160,0,181.3,wav,Y,
260603_北屯機廠號誌故障_正線_073834,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_073834.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_073834.txt,60.79,184,0,240.8,wav,Y,
260603_北屯機廠號誌故障_正線_074130,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074130.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074130.txt,31.31,95,0,124.1,wav,Y,
260603_北屯機廠號誌故障_正線_074203,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074203.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074203.txt,29.42,89,0,116.6,wav,Y,
260603_北屯機廠號誌故障_正線_074411,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074411.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074411.txt,20.64,79,0,81.8,wav,Y,
260603_北屯機廠號誌故障_正線_074459,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074459.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074459.txt,32.95,103,0,130.6,wav,Y,
260603_北屯機廠號誌故障_正線_074559,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074559.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074559.txt,26.64,93,0,105.6,wav,Y,
260603_北屯機廠號誌故障_正線_074822,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074822.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074822.txt,40.21,128,0,159.3,wav,Y,
260603_北屯機廠號誌故障_正線_074924,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_074924.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_074924.txt,59.65,206,0,236.3,wav,Y,
260603_北屯機廠號誌故障_正線_080102,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_080102.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_080102.txt,50.44,112,0,199.8,wav,Y,
260603_北屯機廠號誌故障_正線_080818,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_080818.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_080818.txt,24.05,71,0,95.3,wav,Y,
260603_北屯機廠號誌故障_正線_081356,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_081356.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_081356.txt,63.12,219,0,250.1,wav,Y,
260603_北屯機廠號誌故障_正線_081600,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_081600.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_081600.txt,23.86,74,0,94.6,wav,Y,
260603_北屯機廠號誌故障_正線_081848,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_正線_081848.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_正線_081848.txt,17.99,48,0,71.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_185935,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_185935.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_185935.txt,13.19,20,0,52.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_185950,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_185950.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_185950.txt,13.19,24,0,52.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_190009,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_190009.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_190009.txt,24.43,72,0,96.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_190427,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_190427.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_190427.txt,44.06,130,0,174.6,wav,Y,
260604_G10a文心森林站號誌異常_正線_190544,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_190544.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_190544.txt,29.98,75,0,118.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_190744,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_190744.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_190744.txt,37.75,130,0,149.6,wav,Y,
260604_G10a文心森林站號誌異常_正線_190935,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_190935.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_190935.txt,56.81,222,0,225.1,wav,Y,
260604_G10a文心森林站號誌異常_正線_191703,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_191703.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_191703.txt,17.36,35,0,68.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_191727,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_191727.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_191727.txt,35.16,128,0,139.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_191829,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_191829.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_191829.txt,25.12,78,0,99.6,wav,Y,
260604_G10a文心森林站號誌異常_正線_192054,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192054.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192054.txt,23.42,77,0,92.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_192124,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192124.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192124.txt,10.79,3,0,42.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_192156,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192156.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192156.txt,30.17,94,0,119.6,wav,Y,
260604_G10a文心森林站號誌異常_正線_192301,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192301.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192301.txt,18.56,58,0,73.6,wav,Y,
260604_G10a文心森林站號誌異常_正線_192350,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192350.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192350.txt,17.36,45,0,68.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_192441,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192441.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192441.txt,56.56,198,0,224.1,wav,Y,
260604_G10a文心森林站號誌異常_正線_192626,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192626.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192626.txt,49.68,188,0,196.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_192730,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192730.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192730.txt,13.19,31,0,52.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_192749,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192749.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192749.txt,28.72,85,0,113.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_192821,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192821.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192821.txt,28.6,51,0,113.3,wav,Y,
260604_G10a文心森林站號誌異常_正線_192850,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_192850.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_192850.txt,20.89,49,0,82.8,wav,Y,
260604_G10a文心森林站號誌異常_正線_193551,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_193551.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_193551.txt,14.9,31,0,59.1,wav,Y,
260604_G10a文心森林站號誌異常_正線_193725,control,control,experiments/golden_dataset/audio/260604_G10a文心森林站號誌異常_正線_193725.wav,experiments/golden_dataset/ground_truth/260604_G10a文心森林站號誌異常_正線_193725.txt,11.99,11,0,47.6,wav,Y,
A001,emergency,emergency,experiments/golden_dataset/audio/A001_emergency_號誌3股_值班_20260215_045105.wav,experiments/golden_dataset/ground_truth/A001_emergency_號誌3股_值班_20260215_045105.txt,160.63,741,37,5019.7,wav,Y,
A002,emergency,emergency,experiments/golden_dataset/audio/A002_emergency_號誌3股_值班_20260215_045504.wav,experiments/golden_dataset/ground_truth/A002_emergency_號誌3股_值班_20260215_045504.txt,62.46,225,10,1952.0,wav,Y,
A003,emergency,emergency,experiments/golden_dataset/audio/A003_emergency_號誌3股_值班_20260215_045803.wav,experiments/golden_dataset/ground_truth/A003_emergency_號誌3股_值班_20260215_045803.txt,41.33,134,9,1291.6,wav,Y,
A004,emergency,emergency,experiments/golden_dataset/audio/A004_emergency_號誌3股_值班_20260215_045903.wav,experiments/golden_dataset/ground_truth/A004_emergency_號誌3股_值班_20260215_045903.txt,46.37,168,12,1449.1,wav,Y,
A005,emergency,emergency,experiments/golden_dataset/audio/A005_emergency_號誌3股_值班_20260215_050204.wav,experiments/golden_dataset/ground_truth/A005_emergency_號誌3股_值班_20260215_050204.txt,21.34,60,13,667.1,wav,Y,
A007,emergency,emergency,experiments/golden_dataset/audio/A007_emergency_號誌3股_值班_20260215_053503.wav,experiments/golden_dataset/ground_truth/A007_emergency_號誌3股_值班_20260215_053503.txt,38.24,149,6,1195.2,wav,Y,
A008,emergency,emergency,experiments/golden_dataset/audio/A008_emergency_號誌3股_值班_20260215_054401.wav,experiments/golden_dataset/ground_truth/A008_emergency_號誌3股_值班_20260215_054401.txt,47.99,178,16,1499.7,wav,Y,
A009,emergency,emergency,experiments/golden_dataset/audio/A009_emergency_號誌3股_值班_20260215_054502.wav,experiments/golden_dataset/ground_truth/A009_emergency_號誌3股_值班_20260215_054502.txt,11.73,54,6,366.7,wav,Y,
A010,emergency,emergency,experiments/golden_dataset/audio/A010_emergency_號誌3股_值班_20260215_055405.wav,experiments/golden_dataset/ground_truth/A010_emergency_號誌3股_值班_20260215_055405.txt,61.15,253,13,1911.2,wav,Y,
A011,emergency,emergency,experiments/golden_dataset/audio/A011_emergency_號誌3股_值班_20260215_060501.wav,experiments/golden_dataset/ground_truth/A011_emergency_號誌3股_值班_20260215_060501.txt,6.37,30,5,199.3,wav,Y,
A012,emergency,emergency,experiments/golden_dataset/audio/A012_emergency_組長_楊耀賓_20260215_054004.wav,experiments/golden_dataset/ground_truth/A012_emergency_組長_楊耀賓_20260215_054004.txt,224.68,826,47,7021.4,wav,Y,
A013,emergency,emergency,experiments/golden_dataset/audio/A013_emergency_組長_楊耀賓_20260215_055302.wav,experiments/golden_dataset/ground_truth/A013_emergency_組長_楊耀賓_20260215_055302.txt,15.65,57,7,489.1,wav,Y,
A014,emergency,emergency,experiments/golden_dataset/audio/A014_emergency_組長_楊耀賓_20260215_061300.wav,experiments/golden_dataset/ground_truth/A014_emergency_組長_楊耀賓_20260215_061300.txt,91.22,375,23,2850.7,wav,Y,
G0001,emergency,emergency,experiments/golden_dataset/audio/G0001_emergency_席位1_2025122_192236.wav,experiments/golden_dataset/ground_truth/G0001_emergency_席位1_2025122_192236.txt,39.07,161,2,154.8,wav,Y,
G0002,daily,daily,experiments/golden_dataset/audio/G0002_daily_席位1_2025122_192400.wav,experiments/golden_dataset/ground_truth/G0002_daily_席位1_2025122_192400.txt,16.98,41,1,67.3,wav,Y,
G0003,door,door,experiments/golden_dataset/audio/G0003_door_席位1_2025122_192434.wav,experiments/golden_dataset/ground_truth/G0003_door_席位1_2025122_192434.txt,29.61,111,1,117.3,wav,Y,
G0004,daily,daily,experiments/golden_dataset/audio/G0004_daily_席位1_2025122_192542.wav,experiments/golden_dataset/ground_truth/G0004_daily_席位1_2025122_192542.txt,15.09,26,1,59.8,wav,Y,
G0005,track,track,experiments/golden_dataset/audio/G0005_track_席位1_2025122_192609.wav,experiments/golden_dataset/ground_truth/G0005_track_席位1_2025122_192609.txt,52.39,188,6,207.6,wav,Y,
G0006,door,door,experiments/golden_dataset/audio/G0006_door_席位1_2025122_192724.wav,experiments/golden_dataset/ground_truth/G0006_door_席位1_2025122_192724.txt,107.88,357,10,427.3,wav,Y,
G0007,track,track,experiments/golden_dataset/audio/G0007_track_席位1_2025122_192930.wav,experiments/golden_dataset/ground_truth/G0007_track_席位1_2025122_192930.txt,16.6,46,1,65.8,wav,Y,
G0008,door,door,experiments/golden_dataset/audio/G0008_door_席位1_2025122_193005.wav,experiments/golden_dataset/ground_truth/G0008_door_席位1_2025122_193005.txt,63.82,211,6,252.8,wav,Y,
G0009,daily,daily,experiments/golden_dataset/audio/G0009_daily_席位1_2025122_193110.wav,experiments/golden_dataset/ground_truth/G0009_daily_席位1_2025122_193110.txt,61.86,180,6,245.1,wav,Y,
G0010,door,door,experiments/golden_dataset/audio/G0010_door_席位1_2025122_193214.wav,experiments/golden_dataset/ground_truth/G0010_door_席位1_2025122_193214.txt,31.25,109,3,123.8,wav,Y,
G0011,door,door,experiments/golden_dataset/audio/G0011_door_席位1_2025122_193307.wav,experiments/golden_dataset/ground_truth/G0011_door_席位1_2025122_193307.txt,13.0,30,1,51.6,wav,Y,
G0012,door,door,experiments/golden_dataset/audio/G0012_door_席位1_2025122_193322.wav,experiments/golden_dataset/ground_truth/G0012_door_席位1_2025122_193322.txt,26.39,74,3,104.6,wav,Y,
G0013,emergency,emergency,experiments/golden_dataset/audio/G0013_emergency_席位1_2025122_193349.wav,experiments/golden_dataset/ground_truth/G0013_emergency_席位1_2025122_193349.txt,48.8,195,5,193.3,wav,Y,
G0014,daily,daily,experiments/golden_dataset/audio/G0014_daily_席位1_2025122_193641.wav,experiments/golden_dataset/ground_truth/G0014_daily_席位1_2025122_193641.txt,18.94,68,1,75.1,wav,Y,
G0015,daily,daily,experiments/golden_dataset/audio/G0015_daily_席位1_2025122_194333.wav,experiments/golden_dataset/ground_truth/G0015_daily_席位1_2025122_194333.txt,11.99,11,1,47.6,wav,Y,
G0016,daily,daily,experiments/golden_dataset/audio/G0016_daily_席位1_2025122_194402.wav,experiments/golden_dataset/ground_truth/G0016_daily_席位1_2025122_194402.txt,13.13,25,1,52.1,wav,Y,
G0017,daily,daily,experiments/golden_dataset/audio/G0017_daily_席位1_2025122_194433.wav,experiments/golden_dataset/ground_truth/G0017_daily_席位1_2025122_194433.txt,26.13,70,3,103.6,wav,Y,
G0018,daily,daily,experiments/golden_dataset/audio/G0018_daily_席位1_2025122_194517.wav,experiments/golden_dataset/ground_truth/G0018_daily_席位1_2025122_194517.txt,16.79,35,1,66.6,wav,Y,
G0019,daily,daily,experiments/golden_dataset/audio/G0019_daily_席位1_2025122_194612.wav,experiments/golden_dataset/ground_truth/G0019_daily_席位1_2025122_194612.txt,38.51,109,4,152.6,wav,Y,
G0020,track,track,experiments/golden_dataset/audio/G0020_track_席位1_2025122_194701.wav,experiments/golden_dataset/ground_truth/G0020_track_席位1_2025122_194701.txt,74.8,309,11,296.3,wav,Y,
G0021,emergency,emergency,experiments/golden_dataset/audio/G0021_emergency_席位1_2025122_194854.wav,experiments/golden_dataset/ground_truth/G0021_emergency_席位1_2025122_194854.txt,37.43,150,6,148.3,wav,Y,
G0022,daily,daily,experiments/golden_dataset/audio/G0022_daily_席位1_2025122_195129.wav,experiments/golden_dataset/ground_truth/G0022_daily_席位1_2025122_195129.txt,10.92,5,1,43.3,wav,Y,
G0023,emergency,emergency,experiments/golden_dataset/audio/G0023_emergency_席位1_2025122_195155.wav,experiments/golden_dataset/ground_truth/G0023_emergency_席位1_2025122_195155.txt,36.99,168,5,146.6,wav,Y,
G0024,emergency,emergency,experiments/golden_dataset/audio/G0024_emergency_席位1_2025122_195242.wav,experiments/golden_dataset/ground_truth/G0024_emergency_席位1_2025122_195242.txt,55.36,152,7,219.3,wav,Y,
G0025,daily,daily,experiments/golden_dataset/audio/G0025_daily_席位1_2025122_195413.wav,experiments/golden_dataset/ground_truth/G0025_daily_席位1_2025122_195413.txt,32.95,92,4,130.6,wav,Y,
G0026,track,track,experiments/golden_dataset/audio/G0026_track_席位1_2025122_195523.wav,experiments/golden_dataset/ground_truth/G0026_track_席位1_2025122_195523.txt,19.13,72,1,75.8,wav,Y,
G0027,daily,daily,experiments/golden_dataset/audio/G0027_daily_席位1_2025122_195917.wav,experiments/golden_dataset/ground_truth/G0027_daily_席位1_2025122_195917.txt,20.14,33,2,79.8,wav,Y,
G0028,control,control,experiments/golden_dataset/audio/G0028_control_席位1_2025122_200202.wav,experiments/golden_dataset/ground_truth/G0028_control_席位1_2025122_200202.txt,180.35,716,19,714.3,wav,Y,
G0029,track,track,experiments/golden_dataset/audio/G0029_track_席位1_2025122_200521.wav,experiments/golden_dataset/ground_truth/G0029_track_席位1_2025122_200521.txt,17.74,64,1,70.3,wav,Y,
G0030,track,track,experiments/golden_dataset/audio/G0030_track_席位1_2025122_200616.wav,experiments/golden_dataset/ground_truth/G0030_track_席位1_2025122_200616.txt,25.63,71,3,101.6,wav,Y,
G0031,door,door,experiments/golden_dataset/audio/G0031_door_席位1_2025122_200647.wav,experiments/golden_dataset/ground_truth/G0031_door_席位1_2025122_200647.txt,23.92,67,2,94.8,wav,Y,
G0032,control,control,experiments/golden_dataset/audio/G0032_control_席位1_2025122_200740.wav,experiments/golden_dataset/ground_truth/G0032_control_席位1_2025122_200740.txt,43.75,157,6,173.3,wav,Y,
G0033,daily,daily,experiments/golden_dataset/audio/G0033_daily_席位1_2025122_200841.wav,experiments/golden_dataset/ground_truth/G0033_daily_席位1_2025122_200841.txt,17.86,45,2,70.8,wav,Y,
G0034,control,control,experiments/golden_dataset/audio/G0034_control_席位1_2025122_201004.wav,experiments/golden_dataset/ground_truth/G0034_control_席位1_2025122_201004.txt,13.76,27,1,54.6,wav,Y,
G0035,control,control,experiments/golden_dataset/audio/G0035_control_席位1_2025122_201031.wav,experiments/golden_dataset/ground_truth/G0035_control_席位1_2025122_201031.txt,16.54,44,2,65.6,wav,Y,
G0036,control,control,experiments/golden_dataset/audio/G0036_control_席位1_2025122_201105.wav,experiments/golden_dataset/ground_truth/G0036_control_席位1_2025122_201105.txt,16.03,41,2,63.6,wav,Y,
G0037,emergency,emergency,experiments/golden_dataset/audio/G0037_emergency_席位1_2025122_201158.wav,experiments/golden_dataset/ground_truth/G0037_emergency_席位1_2025122_201158.txt,30.74,99,4,121.8,wav,Y,
G0038,emergency,emergency,experiments/golden_dataset/audio/G0038_emergency_席位1_2025122_201237.wav,experiments/golden_dataset/ground_truth/G0038_emergency_席位1_2025122_201237.txt,90.39,356,12,358.1,wav,Y,
G0039,control,control,experiments/golden_dataset/audio/G0039_control_席位1_2025122_201417.wav,experiments/golden_dataset/ground_truth/G0039_control_席位1_2025122_201417.txt,17.93,52,2,71.1,wav,Y,
G0040,emergency,emergency,experiments/golden_dataset/audio/G0040_emergency_席位1_2025122_201453.wav,experiments/golden_dataset/ground_truth/G0040_emergency_席位1_2025122_201453.txt,79.35,372,11,314.3,wav,Y,
G0041,control,control,experiments/golden_dataset/audio/G0041_control_席位1_2025122_201633.wav,experiments/golden_dataset/ground_truth/G0041_control_席位1_2025122_201633.txt,32.51,81,5,128.8,wav,Y,
G0042,control,control,experiments/golden_dataset/audio/G0042_control_席位1_2025122_201713.wav,experiments/golden_dataset/ground_truth/G0042_control_席位1_2025122_201713.txt,109.71,534,14,434.6,wav,Y,
G0043,daily,daily,experiments/golden_dataset/audio/G0043_daily_席位1_2025122_202024.wav,experiments/golden_dataset/ground_truth/G0043_daily_席位1_2025122_202024.txt,26.39,24,2,104.6,wav,Y,
G0044,control,control,experiments/golden_dataset/audio/G0044_control_席位1_2025122_202256.wav,experiments/golden_dataset/ground_truth/G0044_control_席位1_2025122_202256.txt,18.81,56,2,74.6,wav,Y,
G0045,control,control,experiments/golden_dataset/audio/G0045_control_席位1_2025122_202338.wav,experiments/golden_dataset/ground_truth/G0045_control_席位1_2025122_202338.txt,44.5,173,4,176.3,wav,Y,
G0046,daily,daily,experiments/golden_dataset/audio/G0046_daily_席位1_2025122_202441.wav,experiments/golden_dataset/ground_truth/G0046_daily_席位1_2025122_202441.txt,29.92,82,5,118.6,wav,Y,
G0048,daily,daily,experiments/golden_dataset/audio/G0048_daily_席位1_2025122_202600.wav,experiments/golden_dataset/ground_truth/G0048_daily_席位1_2025122_202600.txt,40.21,132,4,159.3,wav,Y,
G0049,daily,daily,experiments/golden_dataset/audio/G0049_daily_席位1_2025122_202640.wav,experiments/golden_dataset/ground_truth/G0049_daily_席位1_2025122_202640.txt,12.75,24,1,50.6,wav,Y,
G0050,daily,daily,experiments/golden_dataset/audio/G0050_daily_席位1_2025122_202713.wav,experiments/golden_dataset/ground_truth/G0050_daily_席位1_2025122_202713.txt,12.62,24,1,50.1,wav,Y,
G0051,daily,daily,experiments/golden_dataset/audio/G0051_daily_席位1_2025122_202825.wav,experiments/golden_dataset/ground_truth/G0051_daily_席位1_2025122_202825.txt,16.22,34,1,64.3,wav,Y,
G0052,daily,daily,experiments/golden_dataset/audio/G0052_daily_席位1_2025122_202855.wav,experiments/golden_dataset/ground_truth/G0052_daily_席位1_2025122_202855.txt,17.86,32,2,70.8,wav,Y,
G0053,control,control,experiments/golden_dataset/audio/G0053_control_席位1_2025122_202936.wav,experiments/golden_dataset/ground_truth/G0053_control_席位1_2025122_202936.txt,69.06,230,9,273.6,wav,Y,
G0054,control,control,experiments/golden_dataset/audio/G0054_control_席位1_2025122_203045.wav,experiments/golden_dataset/ground_truth/G0054_control_席位1_2025122_203045.txt,61.48,216,9,243.6,wav,Y,
G0055,control,control,experiments/golden_dataset/audio/G0055_control_席位1_2025122_203154.wav,experiments/golden_dataset/ground_truth/G0055_control_席位1_2025122_203154.txt,54.92,194,9,217.6,wav,Y,
G0056,daily,daily,experiments/golden_dataset/audio/G0056_daily_席位1_2025122_203408.wav,experiments/golden_dataset/ground_truth/G0056_daily_席位1_2025122_203408.txt,49.99,160,7,198.1,wav,Y,
G0057,daily,daily,experiments/golden_dataset/audio/G0057_daily_席位1_2025122_203510.wav,experiments/golden_dataset/ground_truth/G0057_daily_席位1_2025122_203510.txt,31.31,126,5,124.1,wav,Y,
G0058,daily,daily,experiments/golden_dataset/audio/G0058_daily_席位1_2025122_203547.wav,experiments/golden_dataset/ground_truth/G0058_daily_席位1_2025122_203547.txt,13.26,21,1,52.6,wav,Y,
G0059,daily,daily,experiments/golden_dataset/audio/G0059_daily_席位1_2025122_203608.wav,experiments/golden_dataset/ground_truth/G0059_daily_席位1_2025122_203608.txt,15.91,40,2,63.1,wav,Y,
G0060,daily,daily,experiments/golden_dataset/audio/G0060_daily_席位1_2025122_203643.wav,experiments/golden_dataset/ground_truth/G0060_daily_席位1_2025122_203643.txt,12.75,25,1,50.6,wav,Y,
G0061,daily,daily,experiments/golden_dataset/audio/G0061_daily_席位1_2025122_203657.wav,experiments/golden_dataset/ground_truth/G0061_daily_席位1_2025122_203657.txt,11.74,12,1,46.6,wav,Y,
G0062,daily,daily,experiments/golden_dataset/audio/G0062_daily_席位1_2025122_203712.wav,experiments/golden_dataset/ground_truth/G0062_daily_席位1_2025122_203712.txt,32.26,57,1,127.8,wav,Y,
G0063,control,control,experiments/golden_dataset/audio/G0063_control_席位1_2025122_203824.wav,experiments/golden_dataset/ground_truth/G0063_control_席位1_2025122_203824.txt,28.28,97,5,112.1,wav,Y,
G0064,track,track,experiments/golden_dataset/audio/G0064_track_席位1_2025122_204235.wav,experiments/golden_dataset/ground_truth/G0064_track_席位1_2025122_204235.txt,20.33,75,1,80.6,wav,Y,
G0065,door,door,experiments/golden_dataset/audio/G0065_door_席位1_2025122_204922.wav,experiments/golden_dataset/ground_truth/G0065_door_席位1_2025122_204922.txt,37.37,97,4,148.1,wav,Y,
G0066,door,door,experiments/golden_dataset/audio/G0066_door_席位1_2025122_205002.wav,experiments/golden_dataset/ground_truth/G0066_door_席位1_2025122_205002.txt,28.41,95,5,112.6,wav,Y,
